protein1 protein2 combined_score
208964.PA0034 208964.PA2177 279
208964.PA0034 208964.PA3462 279
208964.PA0034 208964.PA3974 257
208964.PA0034 208964.PA1979 245
208964.PA0034 208964.PA4437 161
208964.PA0034 208964.PA1611 194
208964.PA0034 208964.PA2583 340
208964.PA0034 208964.PA5017 155
208964.PA0034 208964.PA1992 246
208964.PA0034 208964.PA4982 257
208964.PA0034 208964.PA3074 177
208964.PA0034 208964.PA3044 195
208964.PA0034 208964.PA1243 416
208964.PA0034 208964.PA3271 331
208964.PA0034 208964.PA3946 458
208964.PA0034 208964.PA1396 174
208964.PA0034 208964.PA1976 279
208964.PA0034 208964.PA2824 257
208964.PA0035 208964.PA0651 357
208964.PA0035 208964.PA3165 151
208964.PA0035 208964.PA1903 394
208964.PA0035 208964.PA0649 224
208964.PA0035 208964.PA4447 151
208964.PA0035 208964.PA0036 986
208964.PA0035 208964.PA1002 224
208964.PA0035 208964.PA1276 151
208964.PA0035 208964.PA2531 151
208964.PA0035 208964.PA4214 394
208964.PA0036 208964.PA0035 986
208964.PA0036 208964.PA0649 223
208964.PA0036 208964.PA1002 223
208964.PA0036 208964.PA0651 531
208964.PA0036 208964.PA1903 394
208964.PA0036 208964.PA3113 358
208964.PA0036 208964.PA2609 223
208964.PA0036 208964.PA0650 534
208964.PA0036 208964.PA4214 394
208964.PA0040 208964.PA0692 540
208964.PA0040 208964.PA0690 579
208964.PA0040 208964.PA4625 579
208964.PA0040 208964.PA2463 540
208964.PA0040 208964.PA4540 540
208964.PA0040 208964.PA2462 248
208964.PA0040 208964.PA4624 540
208964.PA0041 208964.PA3648 224
208964.PA0041 208964.PA2543 248
208964.PA0041 208964.PA3339 248
208964.PA0044 208964.PA3842 900
208964.PA0045 208964.PA3062 230
208964.PA0049 208964.PA5023 215
208964.PA0051 208964.PA2253 900
208964.PA0051 208964.PA3459 900
208964.PA0051 208964.PA2084 900
208964.PA0051 208964.PA0903 175
208964.PA0051 208964.PA1337 900
208964.PA0051 208964.PA4560 161
208964.PA0057 208964.PA3334 201
208964.PA0057 208964.PA1209 195
208964.PA0057 208964.PA2103 195
208964.PA0057 208964.PA3327 201
208964.PA0057 208964.PA5118 195
208964.PA0057 208964.PA2978 243
208964.PA0057 208964.PA4254 243
208964.PA0057 208964.PA3982 328
208964.PA0057 208964.PA5130 195
208964.PA0057 208964.PA0589 195
208964.PA0057 208964.PA1869 201
208964.PA0057 208964.PA2279 243
208964.PA0057 208964.PA2400 201
208964.PA0057 208964.PA4420 328
208964.PA0057 208964.PA2424 201
208964.PA0057 208964.PA2966 201
208964.PA0057 208964.PA3114 328
208964.PA0057 208964.PA3943 195
208964.PA0065 208964.PA0002 161
208964.PA0065 208964.PA0608 900
208964.PA0065 208964.PA1812 165
208964.PA0065 208964.PA2974 900
208964.PA0066 208964.PA4676 398
208964.PA0066 208964.PA0102 398
208964.PA0066 208964.PA2053 398
208964.PA0070 208964.PA5570 195
208964.PA0070 208964.PA4433 195
208964.PA0070 208964.PA4240 195
208964.PA0070 208964.PA2741 195
208964.PA0070 208964.PA4237 195
208964.PA0070 208964.PA4267 195
208964.PA0070 208964.PA4932 195
208964.PA0070 208964.PA0972 373
208964.PA0070 208964.PA4934 195
208964.PA0070 208964.PA3745 195
208964.PA0070 208964.PA4262 195
208964.PA0070 208964.PA4241 195
208964.PA0070 208964.PA4263 195
208964.PA0070 208964.PA4248 195
208964.PA0070 208964.PA4671 195
208964.PA0070 208964.PA0742 171
